Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
AAA03083.1	2.4.1.-	GT40(105-316)	GT40_e0	GT40	N	3
AAA95959.1	3.2.1.151|3.2.1.4	GH44(37-529)+CBM76(532-600)	GH44_e6+CBM76_e0	CBM76+GH44	N	3
AAB64039.1	-	CBM43(35-112)	CBM43_e37	N	N	2
AAB80674.2	2.4.1.-	CBM95(108-221)+GT92(232-462)	GT92_e0	GT92	N	3
AAC71692.1	3.2.1.78	GH5_7(78-379)+CBM27(535-690)	GH5_e4+CBM27_e4	CBM27+GH5_7	Y(1-33)	3
AAD30363.1	3.2.1.8|3.2.1.55|3.2.1.4|3.2.1.-|3.2.1.37|3.2.1.74	CBM22(35-151)+CBM22(188-319)+GH10(350-671)+CBM3(733-812)+CBM3(884-963)+CBM3(1109-1189)+GH43_16(1313-1622)+CBM6(1645-1769)	CBM22_e12+CBM22_e1+GH10_e141+CBM3_e16+CBM3_e16+CBM3_e16+GH43_e261+CBM6_e6	CBM22+CBM3+CBM6+GH10+GH43_16	Y(1-32)	3
AAD55431.1	-	GT105(106-238)	GT105_e4	GT105	N	3
AAF16905.1	2.4.1.217	GT78(1-121)	GT78_e0	GT78	N	3
AAF26838.1	3.2.1.158	GH96(810-1429)	CBM6_e29+CBM6_e29+CBM6_e29+GH96_e0	CBM6+GH96	Y(1-27)	3
AAF50082.1	-	GT43(252-450)	GT43_e5	GT43	N	3
AAF58817.2	-	GT92(209-427)	GT92_e14	GT92	N	3
AAF69707.1	3.2.1.4|3.2.1.73|3.2.1.8	GH9(30-491)+CBM49(535-614)	GH9_e16+CBM49_e0	CBM49+GH9	Y(1-27)	3
AAF69771.1	3.2.1.14	GH19(62-170)	CBM18_e40+GH19_e1	N	N	2
AAF82378.1	2.4.1.69|-	GT2(29-164)+GT74(469-760)	GT2+GT74_e0	GT2+GT74	N	3
AAG06171.1	-	CBM22(458-580)	CBM22_e0+CBM22_e0	CBM0+CBM22	Y(1-21)	3
AAG06240.1	2.4.1.-	GT104(1-375)	GT104_e0	GT104	N	3
AAH31613.1	2.4.1.145	GT54(1-135)+CBM94(144-293)	GT54_e0	GT54	N	3
AAH33922.1	2.4.1.-|2.4.2.-	GT49(1-272)	GT49_e0	GT49	N	3
AAH83517.1	3.2.1.46	GH59(25-658)	GH59_e2	GH59	N	3
AAH86228.1	2.4.1.265|2.4.1.-	GT57(17-506)	GT57_e1	GT57	N	3
AAI27108.1	2.4.1.145	GT54(92-380)+CBM94(389-531)	GT54_e0	GT54	N	3
AAI53894.1	2.4.1.92	GT12(255-363)	GT12_e0	GT12	N	3
AAK20910.1	N	fungi_doc(19-55)+fungi_doc(106-140)+CBM29(174-317)+CBM29(336-473)	N	CBM29	Y(1-21)	2
AAK94929.1	3.2.1.14	CBM55(16-61)	CBM55_e0	N	N	2
AAL00767.1	3.2.1.102	GH98(35-334)+CBM47(619-739)+CBM47(769-890)+CBM47(912-1032)	GH98_e2+CBM47_e36+CBM47_e36+CBM47_e36	CBM47+GH98	Y(1-32)	3
AAL79562.1	3.2.1.4	GH5_2(66-320)+CBM17(353-556)+CBM28(566-751)	GH5_e90+CBM17_e0+CBM28_e0	CBM17+CBM28+GH5_2	Y(1-30)	3
AAM91582.1	2.4.1.142|2.4.1.-	GT33(6-453)	GT33_e1	GT33	N	3
AAN08428.1	3.2.1.8	GH11(31-226)	GH11_e0	GH11	N	3
AAO00509.1	N	GH107(87-420)	N	GH107	Y(1-26)	2
AAO79780.1	4.2.2.7	PL13(7-376)	PL13_e0	PL13	N	3
AAO97628.1	3.2.1.8|3.1.1.72|3.1.1.6	GH11(56-229)	GH11_e15+CBM2_e124	CBM2+GH11	Y(1-44)	3
AAP24510.1	3.2.1.17	GH25(5-168)	GH25_e249	GH25	N	3
AAQ56237.1	3.2.1.81	GH118(3-476)	GH118_e0	GH118	Y(1-39)	3
AAQ66100.1	3.2.1.24	GH92(266-770)	GH92_e13	GH92	Y(1-20)	3
AAQ96882.1	3.2.1.35	GH56(42-373)	GH56_e1	GH56	N	3
AAS04886.1	2.4.1.266	GT81(29-326)	GT81_e0	GT81	N	3
AAS88888.1	3.2.1.1|3.2.1.98|-	CBM45(108-193)+CBM45(417-503)+GH13_6(619-904)	CBM45_e0+CBM45_e0+GH13_e146	CBM45+GH13_6	N	3
AAT44962.1	3.2.1.130|3.2.1.198	GH99(103-446)	GH99_e0	GH99	N	3
AAT48118.1	3.2.1.4|3.2.1.91|3.2.1.-|3.2.1.8|3.2.1.73|3.1.1.72|3.2.1.151	CBM4(37-174)+GH9(374-895)+CBM37(918-980)	CBM4_e0+GH9_e1+CBM37_e0	CBM37+CBM4+GH9	Y(1-33)	3
AAT81215.1	3.2.1.8	GH11(57-240)+CBM60(270-375)	GH11_e15+CBM60_e0	CBM60+GH11	Y(1-46)	3
AAT85302.1	-	GT50(136-401)	GT50_e2	GT50	Y(1-21)	3
